id,key,value,type
5680674,cfcc,A41,tiger
5680674,county,"Kings, NY",tiger
5680674,reviewed,no,tiger
5680674,name_base,Westshore,tiger
5680674,name_type,Avenue,tiger
5680890,name,East 27th Street,regular
5680890,highway,residential,regular
5680890,cfcc,A41,tiger
5680890,tlid,59092111:59091995:59092004,tiger
5680890,county,"Kings, NY",tiger
5680890,source,tiger_import_dch_v0.6_20070829,tiger
5680890,reviewed,no,tiger
5680890,zip_left,11235,tiger
5680890,name_base,27th,tiger
5680890,name_type,Street,tiger
5680890,separated,no,tiger
5680890,zip_right,11235,tiger
5680890,upload_uuid,bulk_upload.pl-8a1a8f82-26aa-4f15-b5fe-a7476c89e45e,tiger
5680890,name_direction_prefix,E,tiger
5681055,name,Hemlock Street,regular
5681055,oneway,yes,regular
5681055,highway,residential,regular
5681055,cfcc,A41,tiger
5681055,county,"Kings, NY",tiger
5681055,reviewed,no,tiger
5681055,zip_left,11208,tiger
5681055,name_base,Hemlock,tiger
5681055,name_type,Street,tiger
5681055,zip_right,11208,tiger
5681277,name,East 5th Street,regular
5681277,highway,residential,regular
5681277,zip_left,11230,tiger
5681277,zip_right,11230,tiger
5681580,name,Avenue R,regular
5681580,highway,residential,regular
5681580,cfcc,A41,tiger
5681580,county,"Kings, NY",tiger
5681580,reviewed,no,tiger
5681580,zip_left,11229,tiger
5681580,name_base,Avenue R,tiger
5681580,zip_right,11229,tiger
5681849,name,78th Street,regular
5681849,oneway,yes,regular
5681849,highway,residential,regular
5681849,cfcc,A41,tiger
5681849,county,"Kings, NY",tiger
5681849,zip_left,11209,tiger
5681849,name_base,78th,tiger
5681849,name_type,Street,tiger
5681849,zip_right,11209,tiger
5682072,name,Ditmas Avenue,regular
5682072,highway,residential,regular
5682072,cfcc,A41,tiger
5682072,county,"Kings, NY",tiger
5682072,reviewed,no,tiger
5682072,zip_left,11236,tiger
5682072,name_base,Ditmas,tiger
5682072,name_type,Avenue,tiger
5682072,zip_right,11236,tiger
5695626,oneway,yes,regular
5695626,highway,motorway_link,regular
5695626,cfcc,A63,tiger
5695626,destination,Boston Road;Bronx Zoo,regular
5695626,county,"Bronx, NY",tiger
5695626,reviewed,no,tiger
5695626,ref,US 1 North,destination
5695994,lanes,1,regular
5695994,oneway,yes,regular
5695994,highway,motorway_link,regular
5695994,surface,asphalt,regular
5696309,name,Ellsworth Avenue,regular
5696309,highway,residential,regular
5696309,cfcc,A41,tiger
5696309,tlid,80306996:80307002:80307019,tiger
5696309,county,"Bronx, NY",tiger
5696309,source,tiger_import_dch_v0.6_20070829,tiger
5696309,reviewed,no,tiger
5696309,zip_left,10465,tiger
5696309,name_base,Ellsworth,tiger
5696309,name_type,Avenue,tiger
5696309,separated,no,tiger
5696309,zip_right,10465,tiger
5696309,upload_uuid,bulk_upload.pl-31e02009-f620-482f-9ce6-28e1cea72242,tiger
5696550,name,Perry Avenue,regular
5696550,highway,residential,regular
5696550,cfcc,A41,tiger
5696550,tlid,80299020:80298860,tiger
5696550,county,"Bronx, NY",tiger
5696550,source,tiger_import_dch_v0.6_20070829,tiger
5696550,reviewed,no,tiger
5696550,zip_left,10458,tiger
5696550,name_base,Perry,tiger
5696550,name_type,Avenue,tiger
5696550,separated,no,tiger
5696550,zip_right,10458,tiger
5696550,upload_uuid,bulk_upload.pl-31e02009-f620-482f-9ce6-28e1cea72242,tiger
5696748,name,Prentiss Avenue,regular
5696748,highway,residential,regular
5696748,cfcc,A41,tiger
5696748,tlid,80313528:80309204,tiger
5696748,county,"Bronx, NY",tiger
5696748,source,tiger_import_dch_v0.6_20070829,tiger
5696748,reviewed,no,tiger
5696748,name_base,Prentiss,tiger
5696748,name_type,Avenue,tiger
5696748,separated,no,tiger
5696748,upload_uuid,bulk_upload.pl-31e02009-f620-482f-9ce6-28e1cea72242,tiger
5697045,name,Gouverneur Avenue,regular
5697045,oneway,yes,regular
5697045,highway,residential,regular
5697045,cfcc,A41,tiger
5697045,tlid,80311961,tiger
5697045,county,"Bronx, NY",tiger
5697045,source,tiger_import_dch_v0.6_20070829,tiger
5697045,reviewed,no,tiger
5697045,zip_left,10463,tiger
5697045,name_base,Gouverneur,tiger
5697045,name_type,Avenue,tiger
5697045,separated,no,tiger
5697045,zip_right,10463,tiger
5697045,upload_uuid,bulk_upload.pl-31e02009-f620-482f-9ce6-28e1cea72242,tiger
5697236,name,Folin Street,regular
5697236,oneway,yes,regular
5697236,highway,residential,regular
5697236,cfcc,A41,tiger
5697236,county,"Bronx, NY",tiger
5697236,reviewed,no,tiger
5697236,zip_left,10457,tiger
5697236,name_base,Folin,tiger
5697236,name_type,Street,tiger
5697236,zip_right,10457,tiger
5697415,name,Bruner Avenue,regular
5697415,highway,residential,regular
5697415,cfcc,A41,tiger
5697415,tlid,80303960:80309640:80309641:80304032:80303968,tiger
5697415,county,"Bronx, NY",tiger
5697415,source,tiger_import_dch_v0.6_20070829,tiger
5697415,reviewed,no,tiger
5697415,zip_left,10469,tiger
5697415,name_base,Bruner,tiger
5697415,name_type,Avenue,tiger
5697415,separated,no,tiger
5697415,zip_right,10469,tiger
5697415,upload_uuid,bulk_upload.pl-31e02009-f620-482f-9ce6-28e1cea72242,tiger
5697599,name,Clinton Avenue,regular
5697599,oneway,yes,regular
5697599,highway,residential,regular
5697599,cfcc,A41,tiger
