id,key,value,type
315640773,created_by,Merkaartor 0.12,regular
316359947,created_by,Merkaartor 0.12,regular
316421948,created_by,Merkaartor 0.12,regular
316584221,created_by,Merkaartor 0.12,regular
316666540,created_by,Merkaartor 0.12,regular
316722573,created_by,Merkaartor 0.12,regular
316726387,created_by,Merkaartor 0.12,regular
316728656,created_by,Merkaartor 0.12,regular
316779988,created_by,Merkaartor 0.12,regular
316897723,highway,traffic_signals,regular
320319483,created_by,Merkaartor 0.12,regular
320339908,created_by,Merkaartor 0.12,regular
320372330,created_by,Merkaartor 0.12,regular
320379358,created_by,Merkaartor 0.12,regular
320384767,created_by,Merkaartor 0.12,regular
320394789,created_by,Merkaartor 0.12,regular
320394931,created_by,Merkaartor 0.12,regular
320398299,created_by,Merkaartor 0.12,regular
320403886,created_by,Merkaartor 0.12,regular
320512115,created_by,Merkaartor 0.12,regular
321897221,highway,turning_circle,regular
357549695,ele,0,regular
357549695,name,Boardman School,regular
357549695,amenity,school,regular
357549695,created,01/23/1980,gnis
357549695,state_id,36,gnis
357549695,county_id,059,gnis
357549695,feature_id,944372,gnis
357554855,ele,35,regular
357554855,name,Columbus Public School Number 10,regular
357554855,amenity,school,regular
357554855,created,01/01/2000,gnis
357554855,state_id,36,gnis
357554855,county_id,119,gnis
357554855,feature_id,947206,gnis
357559093,ele,56,regular
357559093,name,Fairview Cemetery,regular
357559093,amenity,grave_yard,regular
357559093,created,01/23/1980,gnis
357559093,state_id,36,gnis
357559093,county_id,085,gnis
357559093,feature_id,949849,gnis
357563364,ele,49,regular
357563364,name,Hamilton School,regular
357563364,amenity,school,regular
357563364,created,01/23/1980,gnis
357563364,state_id,36,gnis
357563364,county_id,119,gnis
357563364,feature_id,952105,gnis
357566747,ele,35,regular
357566747,name,Jewish Hospital Medical Center of Brooklyn,regular
357566747,amenity,hospital,regular
357566747,edited,08/01/2005,gnis
357566747,created,01/23/1980,gnis
357566747,state_id,36,gnis
357566747,county_id,047,gnis
357566747,feature_id,954028,gnis
357572065,ele,15,regular
357572065,name,Morgan Memorial Park,regular
357572065,leisure,park,regular
357572065,edited,12/12/2005,gnis
357572065,created,01/23/1980,gnis
357572065,state_id,36,gnis
357572065,county_id,059,gnis
357572065,feature_id,957669,gnis
357575817,ele,79,regular
357575817,name,Our Lady of Sorrows School,regular
357575817,amenity,school,regular
357575817,created,01/23/1980,gnis
357575817,state_id,36,gnis
357575817,county_id,119,gnis
357575817,feature_id,959638,gnis
357580115,ele,43,regular
357580115,name,Montessori School 31,regular
357580115,amenity,school,regular
357580115,created,01/01/2000,gnis
357580115,state_id,36,gnis
357580115,county_id,119,gnis
357580115,feature_id,961644,gnis
357582119,ele,86,regular
357582119,name,Ridge Street Country School,regular
357582119,amenity,school,regular
357582119,created,01/23/1980,gnis
357582119,state_id,36,gnis
357582119,county_id,119,gnis
357582119,feature_id,962503,gnis
357584757,ele,38,regular
357584757,name,Saint James Park,regular
357584757,leisure,park,regular
357584757,created,01/23/1980,gnis
357584757,state_id,36,gnis
357584757,county_id,005,gnis
357584757,feature_id,963566,gnis
357587512,ele,18,regular
357587512,name,Saint Theresas School,regular
357587512,amenity,school,regular
357587512,created,01/23/1980,gnis
357587512,state_id,36,gnis
357587512,county_id,081,gnis
357587512,feature_id,964238,gnis
357591936,ele,45,regular
357591936,name,Sunshine Acres Park,regular
357591936,leisure,park,regular
357591936,created,01/23/1980,gnis
357591936,state_id,36,gnis
357591936,county_id,103,gnis
357591936,feature_id,966853,gnis
357595350,ele,3,regular
357595350,name,Waverly Park Elementary School,regular
357595350,amenity,school,regular
357595350,created,01/23/1980,gnis
357595350,state_id,36,gnis
357595350,county_id,059,gnis
357595350,feature_id,968942,gnis
357599530,ele,5,regular
357599530,name,Rice Memorial Stadium,regular
357599530,leisure,park,regular
357599530,edited,07/27/2005,gnis
357599530,created,01/23/1980,gnis
357599530,state_id,36,gnis
357599530,county_id,005,gnis
357599530,feature_id,974835,gnis
357606942,ele,10,regular
357606942,name,WFUV-FM (New York),regular
357606942,man_made,tower,regular
357606942,created,08/01/1994,gnis
357606942,state_id,36,gnis
357606942,county_id,005,gnis
357606942,feature_id,978562,gnis
357608764,ele,15,regular
357608764,name,Saint Peter's School,regular
357608764,amenity,school,regular
357608764,created,01/01/2000,gnis
357608764,state_id,36,gnis
357608764,county_id,119,gnis
357608764,feature_id,2061677,gnis
357609354,ele,15,regular
357609354,name,Monsignor Del Valle Square,regular
357609354,leisure,park,regular
357609354,edited,10/26/2007,gnis
357609354,created,01/01/2000,gnis
357609354,state_id,36,gnis
357609354,county_id,005,gnis
357609354,feature_id,2062188,gnis
357609840,ele,98,regular
357609840,name,Hudson View Baptist Church,regular
357609840,amenity,place_of_worship,regular
357609840,religion,christian,regular
357609840,denomination,baptist,regular
357609840,created,01/01/2000,gnis
357609840,state_id,36,gnis
357609840,county_id,119,gnis
357609840,feature_id,2062547,gnis
357610185,ele,15,regular
357610185,name,Saint Catherine's Catholic Church,regular
357610185,amenity,place_of_worship,regular
357610185,religion,christian,regular
357610185,denomination,catholic,regular
357610185,created,01/01/2000,gnis
357610185,state_id,36,gnis
357610185,county_id,119,gnis
357610185,feature_id,2062960,gnis
